,File,Length,reader
0,1272-128104-0000.flac,5.855,1272
1,1272-128104-0001.flac,4.815,1272
2,1272-128104-0002.flac,12.485,1272
3,1272-128104-0003.flac,9.9,1272
4,1272-128104-0004.flac,29.4,1272
5,1272-128104-0005.flac,9.01,1272
6,1272-128104-0006.flac,5.64,1272
7,1272-128104-0007.flac,9.24,1272
8,1272-128104-0008.flac,5.12,1272
9,1272-128104-0009.flac,18.29,1272
10,1272-128104-0010.flac,5.6,1272
11,1272-128104-0011.flac,15.115,1272
12,1272-128104-0012.flac,5.38,1272
13,1272-128104-0013.flac,7.1,1272
14,1272-128104-0014.flac,2.245,1272
15,1272-135031-0000.flac,10.885,1272
16,1272-135031-0001.flac,11.13,1272
17,1272-135031-0002.flac,11.475,1272
18,1272-135031-0003.flac,4.755,1272
19,1272-135031-0004.flac,4.225,1272
20,1272-135031-0005.flac,4.625,1272
21,1272-135031-0006.flac,4.09,1272
22,1272-135031-0007.flac,4.055,1272
23,1272-135031-0008.flac,3.67,1272
24,1272-135031-0009.flac,1.91,1272
25,1272-135031-0010.flac,8.995,1272
26,1272-135031-0011.flac,3.18,1272
27,1272-135031-0012.flac,2.04,1272
28,1272-135031-0013.flac,3.7,1272
29,1272-135031-0014.flac,1.74,1272
30,1272-135031-0015.flac,7.375,1272
31,1272-135031-0016.flac,2.28,1272
32,1272-135031-0017.flac,6.86,1272
33,1272-135031-0018.flac,2.445,1272
34,1272-135031-0019.flac,3.525,1272
35,1272-135031-0020.flac,4.65,1272
36,1272-135031-0021.flac,2.595,1272
37,1272-135031-0022.flac,2.695,1272
38,1272-135031-0023.flac,7.52,1272
39,1272-135031-0024.flac,14.47,1272
40,1272-141231-0000.flac,4.65,1272
41,1272-141231-0001.flac,6.535,1272
42,1272-141231-0002.flac,13.335,1272
43,1272-141231-0003.flac,5.42,1272
44,1272-141231-0004.flac,5.09,1272
45,1272-141231-0005.flac,5.81,1272
46,1272-141231-0006.flac,4.93,1272
47,1272-141231-0007.flac,4.735,1272
48,1272-141231-0008.flac,4.595,1272
49,1272-141231-0009.flac,8.62,1272
50,1272-141231-0010.flac,10.76,1272
51,1272-141231-0011.flac,5.015,1272
52,1272-141231-0012.flac,7.74,1272
53,1272-141231-0013.flac,1.64,1272
54,1272-141231-0014.flac,7.305,1272
55,1272-141231-0015.flac,5.68,1272
56,1272-141231-0016.flac,1.85,1272
57,1272-141231-0017.flac,3.735,1272
58,1272-141231-0018.flac,6.0,1272
59,1272-141231-0019.flac,4.7,1272
60,1272-141231-0020.flac,4.32,1272
61,1272-141231-0021.flac,4.65,1272
62,1272-141231-0022.flac,8.35,1272
63,1272-141231-0023.flac,8.66,1272
64,1272-141231-0024.flac,3.64,1272
65,1272-141231-0025.flac,8.725,1272
66,1272-141231-0026.flac,6.635,1272
67,1272-141231-0027.flac,6.57,1272
68,1272-141231-0028.flac,5.65,1272
69,1272-141231-0029.flac,6.88,1272
70,1272-141231-0030.flac,7.13,1272
71,1272-141231-0031.flac,7.115,1272
72,1272-141231-0032.flac,4.48,1272
73,1462-170138-0000.flac,14.55,1462
74,1462-170138-0001.flac,3.985,1462
75,1462-170138-0002.flac,4.645,1462
76,1462-170138-0003.flac,2.32,1462
77,1462-170138-0004.flac,2.51,1462
78,1462-170138-0005.flac,13.165,1462
79,1462-170138-0006.flac,8.58,1462
80,1462-170138-0007.flac,5.255,1462
81,1462-170138-0008.flac,6.32,1462
82,1462-170138-0009.flac,2.505,1462
83,1462-170138-0010.flac,8.615,1462
84,1462-170138-0011.flac,11.42,1462
85,1462-170138-0012.flac,3.86,1462
86,1462-170138-0013.flac,7.02,1462
87,1462-170138-0014.flac,4.92,1462
88,1462-170138-0015.flac,3.38,1462
89,1462-170138-0016.flac,3.43,1462
90,1462-170138-0017.flac,6.21,1462
91,1462-170138-0018.flac,4.405,1462
92,1462-170138-0019.flac,3.555,1462
93,1462-170138-0020.flac,2.35,1462
94,1462-170138-0021.flac,9.645,1462
95,1462-170138-0022.flac,6.185,1462
96,1462-170138-0023.flac,9.5,1462
97,1462-170138-0024.flac,16.35,1462
98,1462-170138-0025.flac,4.44,1462
99,1462-170138-0026.flac,2.385,1462
100,1462-170138-0027.flac,5.005,1462
101,1462-170142-0000.flac,4.715,1462
102,1462-170142-0001.flac,9.585,1462
103,1462-170142-0002.flac,6.45,1462
104,1462-170142-0003.flac,2.37,1462
105,1462-170142-0004.flac,7.255,1462
106,1462-170142-0005.flac,11.08,1462
107,1462-170142-0006.flac,6.195,1462
108,1462-170142-0007.flac,2.44,1462
109,1462-170142-0008.flac,4.81,1462
110,1462-170142-0009.flac,6.335,1462
111,1462-170142-0010.flac,4.58,1462
112,1462-170142-0011.flac,3.26,1462
113,1462-170142-0012.flac,6.67,1462
114,1462-170142-0013.flac,3.9,1462
115,1462-170142-0014.flac,2.55,1462
116,1462-170142-0015.flac,3.01,1462
117,1462-170142-0016.flac,6.24,1462
118,1462-170142-0017.flac,2.315,1462
119,1462-170142-0018.flac,3.265,1462
120,1462-170142-0019.flac,10.245,1462
121,1462-170142-0020.flac,4.945,1462
122,1462-170142-0021.flac,8.17,1462
123,1462-170142-0022.flac,3.76,1462
124,1462-170142-0023.flac,2.81,1462
125,1462-170142-0024.flac,2.155,1462
126,1462-170142-0025.flac,5.55,1462
127,1462-170142-0026.flac,4.835,1462
128,1462-170142-0027.flac,4.19,1462
129,1462-170142-0028.flac,3.005,1462
130,1462-170142-0029.flac,3.975,1462
131,1462-170142-0030.flac,2.705,1462
132,1462-170142-0031.flac,4.825,1462
133,1462-170142-0032.flac,2.77,1462
134,1462-170142-0033.flac,4.18,1462
135,1462-170142-0034.flac,2.52,1462
136,1462-170142-0035.flac,2.67,1462
137,1462-170142-0036.flac,3.07,1462
138,1462-170142-0037.flac,4.325,1462
139,1462-170142-0038.flac,4.86,1462
140,1462-170142-0039.flac,4.715,1462
141,1462-170142-0040.flac,4.6,1462
142,1462-170142-0041.flac,5.575,1462
143,1462-170142-0042.flac,3.24,1462
144,1462-170145-0000.flac,15.405,1462
145,1462-170145-0001.flac,4.825,1462
146,1462-170145-0002.flac,2.845,1462
147,1462-170145-0003.flac,8.735,1462
148,1462-170145-0004.flac,8.275,1462
149,1462-170145-0005.flac,3.72,1462
150,1462-170145-0006.flac,3.46,1462
151,1462-170145-0007.flac,6.32,1462
152,1462-170145-0008.flac,3.15,1462
153,1462-170145-0009.flac,2.925,1462
154,1462-170145-0010.flac,2.945,1462
155,1462-170145-0011.flac,2.465,1462
